pid,Name,Race,Team,rating,ELO Peak,href
vOddy,Ludvig Barreto,Z,(Unknown/Retired),2036 pts,-,/tlpd/sc2-international/players/2234_vOddy
Loner,Dai Yi,T,Prime,2035 pts,2262 pts,/tlpd/sc2-international/players/1617_Loner
cArn,Hanaf Souaïb,T,(Unknown/Retired),2035 pts,-,/tlpd/sc2-international/players/3260_cArn
JuNe,Simon Hoffmann,T,SFTO,2034 pts,-,/tlpd/sc2-international/players/2664_JuNe
Lin,,P,TYJets,2034 pts,-,/tlpd/sc2-international/players/2969_Lin
Agh,Josh Bland,P,QxG,2034 pts,2098 pts,/tlpd/sc2-international/players/1820_Agh
PhiliBiRD,Phil Baird,T,QxG,2034 pts,-,/tlpd/sc2-international/players/2471_PhiliBiRD
mkengyn,Brian Nguyen,Z,x6.,2033 pts,2125 pts,/tlpd/sc2-international/players/2252_mkengyn
DdoRo,Moon Jung Ho,P,vile,2033 pts,2155 pts,/tlpd/sc2-international/players/2224_DdoRo
DBS,Thorsten Seifert,T,ieS.,2033 pts,2064 pts,/tlpd/sc2-international/players/2793_DBS
Lots,Yoon Sung Hoon,T,SlayerS,2032 pts,-,/tlpd/sc2-international/players/2099_Lots
imakki,Ville Hassinen,T,(Unknown/Retired),2032 pts,-,/tlpd/sc2-international/players/2291_imakki
Sadist,Andrew Nolan,T,tQ.,2031 pts,-,/tlpd/sc2-international/players/3360_Sadist
Zerker,Marc Schulmeister,Z,GoSu,2031 pts,2053 pts,/tlpd/sc2-international/players/2049_Zerker
anypro,Lee Jung Hwan,P,Prime,2031 pts,-,/tlpd/sc2-international/players/1848_anypro
Roz,Freddy Chi,P,inFi,2031 pts,2077 pts,/tlpd/sc2-international/players/2957_Roz
ESCZeRo,Tobias Otte,T,ESC.,2030 pts,2033 pts,/tlpd/sc2-international/players/2298_ESCZeRo
Rigid,Coy Brown,Z,vVv,2030 pts,2085 pts,/tlpd/sc2-international/players/1632_Rigid
Power,Wu Feng Da,T,XpecIM,2030 pts,-,/tlpd/sc2-international/players/2966_Power
NEOindy,Chanin Tingruttanasuwan,P,inFi,2030 pts,2053 pts,/tlpd/sc2-international/players/2936_NEOindy
[aLt]nirvAnA,Bryan Choo,P,aLt,2029 pts,-,/tlpd/sc2-international/players/1496_[aLt]nirvAnA
Maltiso,,Z,(Unknown/Retired),2029 pts,-,/tlpd/sc2-international/players/3201_Maltiso
FireZerg,Sam Prowse,Z,coL.,2029 pts,2046 pts,/tlpd/sc2-international/players/1933_FireZerg
UniQ,Anton,Z,REG,2029 pts,-,/tlpd/sc2-international/players/2181_UniQ
RainBOw,Kim Sung Je,T,ST,2029 pts,-,/tlpd/sc2-international/players/15_RainBOw
Lost,Jason Brand,Z,4k,2028 pts,-,/tlpd/sc2-international/players/3091_Lost
LzGaMeR,Jacob Winstead,T,EG.,2028 pts,2099 pts,/tlpd/sc2-international/players/1130_LzGaMeR
BigBadBeaver,Sonny Jeng,P,(Unknown/Retired),2028 pts,2061 pts,/tlpd/sc2-international/players/2247_BigBadBeaver
Anbu,,Z,(Unknown/Retired),2027 pts,-,/tlpd/sc2-international/players/3163_Anbu
Zukapin,Zach Adams,P,(Unknown/Retired),2027 pts,-,/tlpd/sc2-international/players/3141_Zukapin
inuh,Park Hun,T,SK,2026 pts,2053 pts,/tlpd/sc2-international/players/1695_inuh
Croly,Lin-yi Zong,P,GAMANIA,2025 pts,2095 pts,/tlpd/sc2-international/players/2975_Croly
Daut,Darko Dautovic,T,(Unknown/Retired),2025 pts,2036 pts,/tlpd/sc2-international/players/1942_Daut
iNcontroL,Geoff Robinson,P,EG.,2024 pts,2115 pts,/tlpd/sc2-international/players/1139_iNcontroL
LoCo,Michael Fuchs,T,(Unknown/Retired),2024 pts,2045 pts,/tlpd/sc2-international/players/2302_LoCo
Gretorp,Andre Hengchua,T,(Unknown/Retired),2024 pts,2133 pts,/tlpd/sc2-international/players/1245_Gretorp
Splendour,Lyubomir Kozlovski,P,SFTO,2023 pts,2042 pts,/tlpd/sc2-international/players/2045_Splendour
Steve,Steve Na,P,NrG.,2023 pts,-,/tlpd/sc2-international/players/2501_Steve
Revenant,Marcus Tan Sin Yik,Z,inFi,2022 pts,2102 pts,/tlpd/sc2-international/players/2853_Revenant
DeViL,Ondřej Balušek,Z,eSuba.,2021 pts,2099 pts,/tlpd/sc2-international/players/1674_DeViL
WuLvEraTe,Andreas Brunner,P,(Unknown/Retired),2021 pts,-,/tlpd/sc2-international/players/2025_WuLvEraTe
Roll,Sergey Moroz,P,imba.FXO,2021 pts,2119 pts,/tlpd/sc2-international/players/2182_Roll
Sterling,,T,(Unknown/Retired),2021 pts,-,/tlpd/sc2-international/players/3097_Sterling
Destiny,Steven Bonnell II,Z,(Unknown/Retired),2019 pts,2096 pts,/tlpd/sc2-international/players/2765_Destiny
FallY,Simon Kindle,Z,(Unknown/Retired),2019 pts,-,/tlpd/sc2-international/players/2516_FallY
Amandil,Scott Bailey,Z,(Unknown/Retired),2018 pts,-,/tlpd/sc2-international/players/3006_Amandil
KroLu,Michał Królewski,P,Empire,2018 pts,2107 pts,/tlpd/sc2-international/players/1722_KroLu
FinalForm,,P,(Unknown/Retired),2018 pts,-,/tlpd/sc2-international/players/3105_FinalForm
Kyhol,Kyle Hollett,T,GoSu,2017 pts,2102 pts,/tlpd/sc2-international/players/2214_Kyhol
KenZy,Wafo-Tapa Bruno,Z,CN,2017 pts,2032 pts,/tlpd/sc2-international/players/1187_KenZy
Time,Patrick Allen,P,vVv,2016 pts,2042 pts,/tlpd/sc2-international/players/1824_Time
Future,Rich Almand,P,VT,2016 pts,2097 pts,/tlpd/sc2-international/players/1271_Future
Perfect,Michael Thompson,P,VT,2016 pts,2122 pts,/tlpd/sc2-international/players/2236_Perfect
FuRy,Sebastian Pesic,T,(Unknown/Retired),2016 pts,2179 pts,/tlpd/sc2-international/players/2217_FuRy
Antimage,Victor Poon,P,coL.,2015 pts,2095 pts,/tlpd/sc2-international/players/1621_Antimage
Bai,Cai Jun Bai,Z,XpecIM,2015 pts,-,/tlpd/sc2-international/players/2967_Bai
BTS,Tyler Spesick,P,(Unknown/Retired),2014 pts,-,/tlpd/sc2-international/players/2511_BTS
StarEagle,Maurizio Carioti,T,TRI,2013 pts,2158 pts,/tlpd/sc2-international/players/1829_StarEagle
GoL,,P,(Unknown/Retired),2013 pts,2089 pts,/tlpd/sc2-international/players/1422_GoL
Chi,,P,(Unknown/Retired),2013 pts,-,/tlpd/sc2-international/players/3050_Chi
Ver,Bob Ekkebus,T,x6.,2013 pts,2084 pts,/tlpd/sc2-international/players/2568_Ver
Capoch,Patricio del Olmo,P,KEYD,2013 pts,2093 pts,/tlpd/sc2-international/players/1751_Capoch
Revtime,Zhang Lu,Z,(Unknown/Retired),2013 pts,2031 pts,/tlpd/sc2-international/players/2763_Revtime
Jim,,P,Tyloo,2013 pts,-,/tlpd/sc2-international/players/3030_Jim
Catechin,Kristoffer Wirch,Z,(Unknown/Retired),2012 pts,2048 pts,/tlpd/sc2-international/players/2500_Catechin
Zelniq,Jason Choe,Z,(Unknown/Retired),2012 pts,2068 pts,/tlpd/sc2-international/players/1639_Zelniq
StyGGeN,Erik Christensen,Z,Lions,2012 pts,-,/tlpd/sc2-international/players/1742_StyGGeN
control,Yaroslav Popov,T,imba.FXO,2012 pts,2110 pts,/tlpd/sc2-international/players/2082_control
Druzdil,Wojtek Pawłowicz,T,SFTO,2012 pts,2062 pts,/tlpd/sc2-international/players/2197_Druzdil
ThisIsJimmy,Jimmy Van Sise,T,x6.,2012 pts,2168 pts,/tlpd/sc2-international/players/1649_ThisIsJimmy
WanT,Jung Ji Hoon,P,(Unknown/Retired),2011 pts,-,/tlpd/sc2-international/players/2504_WanT
nkulunkulu,Jurgis Bredikis,Z,(Unknown/Retired),2011 pts,-,/tlpd/sc2-international/players/2587_nkulunkulu
lkjewq,AJ Schang,Z,(Unknown/Retired),2010 pts,-,/tlpd/sc2-international/players/2425_lkjewq
Pokerface,,Z,(Unknown/Retired),2010 pts,-,/tlpd/sc2-international/players/3204_Pokerface
Yayba,Jarek Pociecha,P,,2009 pts,-,/tlpd/sc2-international/players/1164_Yayba
Fargo,Vaidas Radavicius,T,aAa,2009 pts,2130 pts,/tlpd/sc2-international/players/1743_Fargo
FremAN,Antonin Nosenzo,P,CN,2008 pts,2059 pts,/tlpd/sc2-international/players/1794_FremAN
Cobo,Soon Hua Tan,P,(Unknown/Retired),2007 pts,-,/tlpd/sc2-international/players/1183_Cobo
Bosnic,,P,(Unknown/Retired),2007 pts,-,/tlpd/sc2-international/players/3123_Bosnic
Lizzuma,Philip Johnston,T,(Unknown/Retired),2007 pts,-,/tlpd/sc2-international/players/2696_Lizzuma
CodeG,,P,(Unknown/Retired),2006 pts,2028 pts,/tlpd/sc2-international/players/2543_CodeG
Sadistx,Vasily Favoroff,T,(Unknown/Retired),2005 pts,2063 pts,/tlpd/sc2-international/players/2405_Sadistx
Baz,John Bendis,T,QxG,2005 pts,2127 pts,/tlpd/sc2-international/players/2729_Baz
Wild,Han Tae Hoon,T,nGen,2004 pts,-,/tlpd/sc2-international/players/2855_Wild
Pasildan,Daniel Gutierrez,T,KEYD,2004 pts,-,/tlpd/sc2-international/players/2697_Pasildan
InCa,Song Joon Hyuk,P,oGs,2004 pts,-,/tlpd/sc2-international/players/1855_InCa
Avenger,Dmitry,T,imba.FXO,2003 pts,-,/tlpd/sc2-international/players/2285_Avenger
LOUP,,T,(Unknown/Retired),2003 pts,-,/tlpd/sc2-international/players/2541_LOUP
ChAnCe,Zac Palmer,Z,VP,2002 pts,2044 pts,/tlpd/sc2-international/players/2401_ChAnCe
Bly,Aleksandr Svusuyk,Z,Virus.,2001 pts,2115 pts,/tlpd/sc2-international/players/2013_Bly
RunA,Joacim Persson,P,(Unknown/Retired),2001 pts,2005 pts,/tlpd/sc2-international/players/1765_RunA
jackhightech,,P,(Unknown/Retired),2001 pts,-,/tlpd/sc2-international/players/2798_jackhightech
TITAN,,P,(Unknown/Retired),2000 pts,-,/tlpd/sc2-international/players/3156_TITAN
Beethoven,,Z,(Unknown/Retired),2000 pts,-,/tlpd/sc2-international/players/2859_Beethoven
Chelovek,Maxim Kostenko,T,NTO,2000 pts,-,/tlpd/sc2-international/players/2740_Chelovek
Machine,Bryce Bates,Z,EG.,1998 pts,2184 pts,/tlpd/sc2-international/players/1131_Machine
Fuzer,Samuli Romppanen,T,Menace,1998 pts,2050 pts,/tlpd/sc2-international/players/1702_Fuzer
Mass,Kevin Skerpon,Z,DREAM,1998 pts,-,/tlpd/sc2-international/players/2421_Mass
Laukyo,Laurent Chung,T,Virus.,1998 pts,2077 pts,/tlpd/sc2-international/players/2054_Laukyo
Ryze,Brendon Walker,Z,coL.,1997 pts,2079 pts,/tlpd/sc2-international/players/2200_Ryze
gamfvr,,T,(Unknown/Retired),1997 pts,-,/tlpd/sc2-international/players/3176_gamfvr
FighT,,T,(Unknown/Retired),1997 pts,-,/tlpd/sc2-international/players/2947_FighT
Vasilisk,Vasiliy Rudenko,Z,(Unknown/Retired),1996 pts,-,/tlpd/sc2-international/players/2056_Vasilisk
Maker,Ricardo Flores,T,x6.,1995 pts,2059 pts,/tlpd/sc2-international/players/2290_Maker
RuFF,Jesse Hall,T,vVv,1995 pts,2027 pts,/tlpd/sc2-international/players/2260_RuFF
Welmu,Vesa Matti Hovinen,P,(Unknown/Retired),1995 pts,2031 pts,/tlpd/sc2-international/players/2141_Welmu
Gomas,Marcin Mrugala,T,Infused,1995 pts,2080 pts,/tlpd/sc2-international/players/2173_Gomas
Slurgi,Scott Penick,P,4k,1994 pts,2017 pts,/tlpd/sc2-international/players/2360_Slurgi
aAaNbs,Laurynas Kisielius,T,aAa,1994 pts,2043 pts,/tlpd/sc2-international/players/1792_aAaNbs
Siw,Vladimir Syzranov,P,(Unknown/Retired),1994 pts,2014 pts,/tlpd/sc2-international/players/2477_Siw
Serashin,,P,(Unknown/Retired),1994 pts,2014 pts,/tlpd/sc2-international/players/2584_Serashin
phantaxx,,P,(Unknown/Retired),1994 pts,-,/tlpd/sc2-international/players/2274_phantaxx
Origine,Thomas Aufresne,T,LDLC.com,1994 pts,-,/tlpd/sc2-international/players/2595_Origine
NesTea,Lim Jae Duk,Z,IM,1993 pts,-,/tlpd/sc2-international/players/29_NesTea
BBQplox,Joseph Widjaja,P,iS,1993 pts,-,/tlpd/sc2-international/players/2473_BBQplox
Akki,Arthur Roskos,Z,SFTO,1992 pts,2037 pts,/tlpd/sc2-international/players/2296_Akki
LzHsAint,,T,(Unknown/Retired),1992 pts,-,/tlpd/sc2-international/players/2801_LzHsAint
ZeuS,Dan Yoshida,T,REQ,1991 pts,2051 pts,/tlpd/sc2-international/players/1630_ZeuS
inNirvana,Marat Farid,P,(Unknown/Retired),1990 pts,2124 pts,/tlpd/sc2-international/players/2370_inNirvana
Flow,Anthony Strianse,P,(Unknown/Retired),1990 pts,-,/tlpd/sc2-international/players/2437_Flow
Gow,,P,TYJets,1990 pts,2078 pts,/tlpd/sc2-international/players/2971_Gow
BeNSeN,Benjamin Duclaux,Z,LDLC.com,1989 pts,2066 pts,/tlpd/sc2-international/players/1651_BeNSeN
HEADHUNTER,,P,(Unknown/Retired),1989 pts,-,/tlpd/sc2-international/players/3343_HEADHUNTER
EnDerr,Caviar Acampado,Z,eXo,1988 pts,2087 pts,/tlpd/sc2-international/players/2943_EnDerr
BabyKnight,John Andersen,P,NaVi,1988 pts,-,/tlpd/sc2-international/players/2790_BabyKnight
Lopata,Jaromir Mika,P,eSuba.,1988 pts,2044 pts,/tlpd/sc2-international/players/2310_Lopata
Lobber,Nicholas Adolph,P,(Unknown/Retired),1987 pts,-,/tlpd/sc2-international/players/2900_Lobber
Masq,Andrew Persaud,T,(Unknown/Retired),1987 pts,2006 pts,/tlpd/sc2-international/players/1823_Masq
Phantomheart,,P,(Unknown/Retired),1987 pts,-,/tlpd/sc2-international/players/2737_Phantomheart
Binski,Sungbin Lee,T,(Unknown/Retired),1987 pts,-,/tlpd/sc2-international/players/2066_Binski
ChewbroCColi,Michael Raundall,T,Zy,1986 pts,-,/tlpd/sc2-international/players/1987_ChewbroCColi
Seala,Erik Ramquist,Z,(Unknown/Retired),1986 pts,-,/tlpd/sc2-international/players/2139_Seala
NarutO,Silvano Bovo,T,mTw.MF,1986 pts,2070 pts,/tlpd/sc2-international/players/1696_NarutO
Naugrim,Mattias Ottosson,Z,GosuGamers,1986 pts,2131 pts,/tlpd/sc2-international/players/1262_Naugrim
Mirhi,Frank Fields,P,VT,1986 pts,-,/tlpd/sc2-international/players/2418_Mirhi
DarkCell,Nick Murray,Z,QxG,1984 pts,2070 pts,/tlpd/sc2-international/players/2251_DarkCell
Funkay,Wojciech Komincz,T,(Unknown/Retired),1984 pts,2112 pts,/tlpd/sc2-international/players/1278_Funkay
Ourk,Liam Streames,T,GosuGamers,1983 pts,2019 pts,/tlpd/sc2-international/players/1913_Ourk
Way,Zhu Xing Biao,T,DB.,1982 pts,-,/tlpd/sc2-international/players/2542_Way
Looky,Peter Sem,Z,VT,1982 pts,2080 pts,/tlpd/sc2-international/players/2152_Looky
nGenMaSteR,Doyoung Kim,Z,nGen,1982 pts,2089 pts,/tlpd/sc2-international/players/2927_nGenMaSteR
BaFFinO,Simone Martina,P,(Unknown/Retired),1981 pts,-,/tlpd/sc2-international/players/2986_BaFFinO
Whiplash,Justin Wilson,P,VT,1981 pts,2023 pts,/tlpd/sc2-international/players/1622_Whiplash
jump,Kasidith Vorakitpokatorn,P,(Unknown/Retired),1980 pts,-,/tlpd/sc2-international/players/2860_jump
Xog,Baruch Talbott,Z,(Unknown/Retired),1979 pts,-,/tlpd/sc2-international/players/2731_Xog
GLINE.Joe,Alexander Milanov,P,(Unknown/Retired),1979 pts,-,/tlpd/sc2-international/players/2462_GLINE.Joe
Spanishiwa,Michael Yabuti,Z,vile,1979 pts,-,/tlpd/sc2-international/players/3066_Spanishiwa
Bonkarooni,Michael Egolf,P,(Unknown/Retired),1978 pts,2053 pts,/tlpd/sc2-international/players/2993_Bonkarooni
mover,Emil Lång,T,Epsilon,1978 pts,2051 pts,/tlpd/sc2-international/players/1916_mover
Lau,Nathan Lau,T,Infused,1978 pts,-,/tlpd/sc2-international/players/2174_Lau
BoX,Matt Kho,P,(Unknown/Retired),1977 pts,-,/tlpd/sc2-international/players/2148_BoX
PainUser,Taylor Parsons,T,VP,1977 pts,2125 pts,/tlpd/sc2-international/players/1597_PainUser
DamnCats,,Z,(Unknown/Retired),1976 pts,-,/tlpd/sc2-international/players/3185_DamnCats
Rmdx,Dennis Hawelka,T,(Unknown/Retired),1975 pts,2053 pts,/tlpd/sc2-international/players/2551_Rmdx
PiG,Jared Krensel,Z,aLt,1974 pts,2063 pts,/tlpd/sc2-international/players/2526_PiG
Linko,Bo Huang,T,GoSu,1974 pts,-,/tlpd/sc2-international/players/2591_Linko
LuckyFish,Ivan Lapshin,Z,iP.,1974 pts,-,/tlpd/sc2-international/players/2065_LuckyFish
torecito,Tuomas Törmänen,Z,Menace,1974 pts,-,/tlpd/sc2-international/players/2557_torecito
CookinRelaxing,,T,(Unknown/Retired),1973 pts,-,/tlpd/sc2-international/players/2570_CookinRelaxing
Fan,Fan Yang,T,(Unknown/Retired),1973 pts,-,/tlpd/sc2-international/players/2238_Fan
Wilko,Christoph Wilkowiecki,P,(Unknown/Retired),1973 pts,-,/tlpd/sc2-international/players/2492_Wilko
Nelfi,Vyachesla Zotine,P,(Unknown/Retired),1973 pts,-,/tlpd/sc2-international/players/2303_Nelfi
daisuki,Peter Yoo,Z,iS,1973 pts,2090 pts,/tlpd/sc2-international/players/2992_daisuki
Skutt,David Olsson,Z,(Unknown/Retired),1972 pts,2067 pts,/tlpd/sc2-international/players/1754_Skutt
Andro,Andrew Lozinski,P,REQ,1971 pts,-,/tlpd/sc2-international/players/1885_Andro
cHoBo,Mateusz Krawcyk,P,(Unknown/Retired),1969 pts,2152 pts,/tlpd/sc2-international/players/1738_cHoBo
Fayde,,P,(Unknown/Retired),1968 pts,-,/tlpd/sc2-international/players/2576_Fayde
KleeneX,Leif Boutin,P,Mill.,1968 pts,-,/tlpd/sc2-international/players/1714_KleeneX
decemvre,Mircea Itu,Z,h4u,1968 pts,-,/tlpd/sc2-international/players/2338_decemvre
Eric,Liu Hao,Z,(Unknown/Retired),1966 pts,-,/tlpd/sc2-international/players/1619_Eric
xEi,Thomas Schwingenschlögl,P,ieS.,1966 pts,-,/tlpd/sc2-international/players/2023_xEi
Lamp,Bruno Kaneko,T,CNB,1964 pts,2045 pts,/tlpd/sc2-international/players/2640_Lamp
Mardow,Sebastian Dutsch,Z,aTn.,1963 pts,2082 pts,/tlpd/sc2-international/players/1715_Mardow
Kiom,Michel Mainville,T,(Unknown/Retired),1963 pts,-,/tlpd/sc2-international/players/2586_Kiom
AllForOne,,R,(Unknown/Retired),1962 pts,-,/tlpd/sc2-international/players/3197_AllForOne
SalvatioN,Justin Hartman,T,TA,1962 pts,-,/tlpd/sc2-international/players/2872_SalvatioN
Apro,Yang Jue Hong,P,TtApollo,1961 pts,-,/tlpd/sc2-international/players/2973_Apro
Jerry,,Z,(Unknown/Retired),1961 pts,-,/tlpd/sc2-international/players/3269_Jerry
CuteZerg,Roman Bashirov,P,(Unknown/Retired),1961 pts,-,/tlpd/sc2-international/players/2304_CuteZerg
Shuffle,Joseph Moloney,Z,QxG,1960 pts,2037 pts,/tlpd/sc2-international/players/2590_Shuffle
nEAns,Benjamin Wong,T,x6.,1960 pts,-,/tlpd/sc2-international/players/2051_nEAns
Voices,Mark Macgowan,T,TA,1959 pts,2074 pts,/tlpd/sc2-international/players/2571_Voices
Blade,Tyler Nicholas,Z,sPs,1959 pts,-,/tlpd/sc2-international/players/2523_Blade
AcRo,Andreas Kirchner,P,Faculty,1959 pts,2025 pts,/tlpd/sc2-international/players/1791_AcRo
ApRioRi,Vitaliy Ponomarenko,Z,NTO,1959 pts,-,/tlpd/sc2-international/players/2461_ApRioRi
JimRiSiNg,,T,(Unknown/Retired),1956 pts,2044 pts,/tlpd/sc2-international/players/2787_JimRiSiNg
Schaef,,P,(Unknown/Retired),1956 pts,-,/tlpd/sc2-international/players/2903_Schaef
Breek,,Z,(Unknown/Retired),1956 pts,-,/tlpd/sc2-international/players/3038_Breek
Heero,Xiao Qin Min,T,GAMANIA,1956 pts,2044 pts,/tlpd/sc2-international/players/2976_Heero
Ke,,P,(Unknown/Retired),1955 pts,-,/tlpd/sc2-international/players/3282_Ke
wonkman,,P,(Unknown/Retired),1954 pts,2008 pts,/tlpd/sc2-international/players/2393_wonkman
MiNiMaTh,Perrus Mathieu,Z,Sypher,1954 pts,-,/tlpd/sc2-international/players/2390_MiNiMaTh
DakkoN,,Z,(Unknown/Retired),1954 pts,-,/tlpd/sc2-international/players/2910_DakkoN
Sushi,Lennart Roest,Z,srs.,1953 pts,2024 pts,/tlpd/sc2-international/players/1868_Sushi
KinGJessE,Jesse Slaton,R,aLt,1952 pts,-,/tlpd/sc2-international/players/2935_KinGJessE
RyanRushia,Ryan Rushia,P,coL.,1952 pts,-,/tlpd/sc2-international/players/2136_RyanRushia
Jas,Dong Ke Rang,P,Spider,1950 pts,-,/tlpd/sc2-international/players/2981_Jas
FooFighter,Vasilije Kekovic,T,(Unknown/Retired),1949 pts,-,/tlpd/sc2-international/players/2196_FooFighter
Potiguar,Aderson Santos,P,(Unknown/Retired),1949 pts,2080 pts,/tlpd/sc2-international/players/2991_Potiguar
avilo,David J.C. Blowe,T,VT,1947 pts,2032 pts,/tlpd/sc2-international/players/1644_avilo
desRow,Marc-Olivier Proulx,P,RAGE`,1947 pts,2118 pts,/tlpd/sc2-international/players/2221_desRow
Seekers,,Z,(Unknown/Retired),1945 pts,-,/tlpd/sc2-international/players/2764_Seekers
nGenLight,,P,nGen,1944 pts,-,/tlpd/sc2-international/players/2958_nGenLight
ParanOid,Rafal Kontowicz,Z,MYM,1943 pts,2027 pts,/tlpd/sc2-international/players/1134_ParanOid
Couguar,Vitaliy,P,imba.FXO,1941 pts,-,/tlpd/sc2-international/players/1992_Couguar
Harpner,Tomáš Bruštík,P,nEph.,1940 pts,2008 pts,/tlpd/sc2-international/players/1924_Harpner
Anathorn,Victor Carrasco,T,VP,1940 pts,-,/tlpd/sc2-international/players/2395_Anathorn
Fuzzy,,Z,(Unknown/Retired),1940 pts,-,/tlpd/sc2-international/players/3065_Fuzzy
3D.Hydra,Ruslan Denysyuk,P,(Unknown/Retired),1939 pts,-,/tlpd/sc2-international/players/3017_3D.Hydra
Gerbil,Adam Venis,Z,4k,1937 pts,-,/tlpd/sc2-international/players/2210_Gerbil
Magulina,,Z,SFTO,1935 pts,-,/tlpd/sc2-international/players/2064_Magulina
tgun,Bradley Seymour,Z,FXO,1935 pts,-,/tlpd/sc2-international/players/2835_tgun
Ikki,Thiago Sato,Z,CNB,1935 pts,-,/tlpd/sc2-international/players/2641_Ikki
Uhen,,Z,Tyloo,1935 pts,2004 pts,/tlpd/sc2-international/players/2771_Uhen
Tunico,,Z,KEYD,1934 pts,2119 pts,/tlpd/sc2-international/players/2995_Tunico
ExO,David Aaron Hart,P,4k,1934 pts,-,/tlpd/sc2-international/players/2068_ExO
SpiderMax,Chen Xi Yu,Z,Spider,1933 pts,2036 pts,/tlpd/sc2-international/players/2980_SpiderMax
amnesiac,Matthew Garnham,Z,TA,1933 pts,-,/tlpd/sc2-international/players/2875_amnesiac
ho8ot,Andrei Mikheev,Z,Empire,1933 pts,2044 pts,/tlpd/sc2-international/players/1898_ho8ot
rjT,Luca Ambrosini,Z,inF.,1932 pts,-,/tlpd/sc2-international/players/2985_rjT
SLoG,Andy Ahn,P,FXO,1930 pts,2002 pts,/tlpd/sc2-international/players/1244_SLoG
Risk_Player,Jeremy Leblanc,T,(Unknown/Retired),1928 pts,-,/tlpd/sc2-international/players/2905_Risk_Player
Arew,Vytautas Graiciunas,P,(Unknown/Retired),1927 pts,-,/tlpd/sc2-international/players/1203_Arew
Hui,Yuan Jinhui,P,XpecIM,1927 pts,2105 pts,/tlpd/sc2-international/players/2964_Hui
Pureball,Marty Rome,T,Dignitas,1926 pts,-,/tlpd/sc2-international/players/1888_Pureball
Jroy,Justin Roy,P,(Unknown/Retired),1926 pts,-,/tlpd/sc2-international/players/2659_Jroy
MoreFaSho,Joshua Gutman,Z,(Unknown/Retired),1924 pts,2016 pts,/tlpd/sc2-international/players/2426_MoreFaSho
nozick,Andrew Johnson,P,(Unknown/Retired),1924 pts,-,/tlpd/sc2-international/players/2698_nozick
Zazu,Patrick Niemier,Z,(Unknown/Retired),1924 pts,-,/tlpd/sc2-international/players/2989_Zazu
Honor,Niklas Behrens,P,Ai,1921 pts,2024 pts,/tlpd/sc2-international/players/2609_Honor
KnowMe,Steffen,P,(Unknown/Retired),1920 pts,-,/tlpd/sc2-international/players/1761_KnowMe
Shew,Alex Raymond,P,(Unknown/Retired),1919 pts,-,/tlpd/sc2-international/players/2704_Shew
InHeartBeat,,P,(Unknown/Retired),1919 pts,2019 pts,/tlpd/sc2-international/players/3029_InHeartBeat
SenDoh,Alejandro,T,osR-,1918 pts,-,/tlpd/sc2-international/players/1424_SenDoh
Sennin,,P,(Unknown/Retired),1917 pts,-,/tlpd/sc2-international/players/2567_Sennin
OutSide,Roman Emelyanov,T,(Unknown/Retired),1916 pts,2062 pts,/tlpd/sc2-international/players/2389_OutSide
dSKe,Eugene,T,imba.FXO,1915 pts,-,/tlpd/sc2-international/players/2081_dSKe
Drafter,Rasmus Kristensen,T,,1914 pts,-,/tlpd/sc2-international/players/1775_Drafter
ArminvB,Oscar Witzand,T,(Unknown/Retired),1913 pts,-,/tlpd/sc2-international/players/2266_ArminvB
ekSi,Keavan Canu,P,(Unknown/Retired),1911 pts,-,/tlpd/sc2-international/players/2193_ekSi
JaBiTo,Paolo Javier,Z,Mski,1910 pts,2028 pts,/tlpd/sc2-international/players/2722_JaBiTo 
Skruffy,Vegard Tenold,Z,Lions,1909 pts,2032 pts,/tlpd/sc2-international/players/1908_Skruffy
File,Filippo Broccolino,Z,TRI,1909 pts,-,/tlpd/sc2-international/players/2983_File
RoyalFlush,John Lee,Z,(Unknown/Retired),1908 pts,-,/tlpd/sc2-international/players/3173_RoyalFlush
Turuk,Constantine Arzhavitin,T,iP.,1906 pts,-,/tlpd/sc2-international/players/2752_Turuk
MyWa,Glen Jul Hansen,P,4k,1905 pts,-,/tlpd/sc2-international/players/1612_MyWa
luLLabyWISH,,T,(Unknown/Retired),1903 pts,-,/tlpd/sc2-international/players/2237_luLLabyWISH
JaXx,Alexander Quaiser,P,(Unknown/Retired),1903 pts,-,/tlpd/sc2-international/players/2484_JaXx
Kakashi,Irakli Budia,T,TMC,1901 pts,-,/tlpd/sc2-international/players/2130_Kakashi
Hasuu,Colin Hamilton,P,vVv,1899 pts,2026 pts,/tlpd/sc2-international/players/2110_Hasuu
Arlock,Aaron Abrams,P,VT,1899 pts,-,/tlpd/sc2-international/players/2277_Arlock
Artosis,Dan Stemkoski,P,sixjax.,1899 pts,-,/tlpd/sc2-international/players/1129_Artosis
Gruang,Tuomo Krooks,T,(Unknown/Retired),1898 pts,2012 pts,/tlpd/sc2-international/players/1925_Gruang
MescalineEyes,Lorand Koncz,Z,(Unknown/Retired),1897 pts,-,/tlpd/sc2-international/players/2984_MescalineEyes
Clavie,,P,(Unknown/Retired),1897 pts,-,/tlpd/sc2-international/players/2549_Clavie
Pheo,Daniel Prior,Z,(Unknown/Retired),1894 pts,-,/tlpd/sc2-international/players/2810_Pheo
JediGamer,Alex Power,T,(Unknown/Retired),1892 pts,2046 pts,/tlpd/sc2-international/players/2246_JediGamer
